,nu_1,nu_2,nu_3,nu_4,nu_5,nu_6,nu_7,nu_8,nu_9,nu_10,nu_11,nu_12,nu_13,nu_14,nu_15,nu_16,nu_17,nu_18,nu_19,nu_20
35878,3.1725641766254554e-16,1.6950746797406923e-11,2.8604365975485445e-07,0.00012284993216489667,0.00124781898969064,0.0038799846100148966,0.008242546885112379,0.013877410704353497,0.021643002798188232,0.03020553243996571,0.039043868087907475,0.04785557804174515,0.056743227247829334,0.06598499087181814,0.07583777153201797,0.08684419720375401,0.09992090951155395,0.11645426642569609,0.14095781070603688,0.19153961897830096
116609,4.1096970476436205e-22,1.140217335581367e-13,7.004258854423813e-10,2.689917939011189e-07,1.402337841183091e-05,0.00012377049673508827,0.0005233053499685651,0.001557322033620144,0.0036462187726439585,0.007080319398526684,0.011925359466615262,0.01813221903610803,0.02569777209122954,0.03481750693199687,0.046023030836067104,0.06041699628396706,0.08028853164326867,0.11095762004337743,0.16965985075132517,0.42953807336050404
35799,2.944602147949763e-14,2.3501060531695504e-09,2.7494799629194742e-06,0.00013046930838167832,0.0020135059557496358,0.003820461708069598,0.005974882695538059,0.00808911670311126,0.00964680561629227,0.01103349828916462,0.012727723141168667,0.014981637732287525,0.018027428741375275,0.022191657415918546,0.02804989846282564,0.03670961292109137,0.05060171619735361,0.07621166209700046,0.13815193581727558,0.5620424434898716
37553,1.0592141344440273e-20,1.7774068779712995e-11,1.1643688223270394e-08,4.6782687102603e-06,0.00013320317416167182,0.0009593908952059782,0.002860656728600442,0.005153019288678778,0.00781473803512456,0.010721828972664754,0.013963606116539802,0.01750697953524712,0.021407502010258418,0.025764063533881172,0.03082465475282451,0.03710440620099672,0.04576747135536054,0.06021622566429891,0.09730148241249165,0.6229032393908764
115050,2.8725021602644965e-12,7.694864178088175e-10,4.1218973450877243e-07,2.319909133869505e-05,0.0001396433065690853,0.00034642596747753784,0.0005855314178795822,0.0008216229842340691,0.001059706055422988,0.0013595245229268572,0.0017794919780391267,0.002402462977672101,0.003389446628653574,0.005025441190790894,0.00799554001445191,0.013888120993919778,0.02785799239775442,0.06708842902855791,0.21060158260916598,0.656045892968584
32236,3.564105653325358e-08,7.412217175300733e-05,0.0005001359725653258,0.0015636971040453378,0.002921793406430189,0.0036022633307569445,0.003464669690089929,0.0032811469980571777,0.003266872895446734,0.003473724200496588,0.003936768441795433,0.004750729641012715,0.006096398875282588,0.008326579922358052,0.01214734209263838,0.01898709500183652,0.03199478482873979,0.058406656983533686,0.13734788980326618,0.6962673938580797
34606,0.000332189929313279,0.0018303037603447047,0.0015154599434774063,0.0010101483377136017,0.0008922388413383276,0.0007370574766990414,0.0006587661982802006,0.0006175615561272467,0.0006395315990076296,0.0007138624256760467,0.000876081756682733,0.0011657799043486227,0.0016879631280729663,0.00264872231166582,0.004481109297035386,0.008291357472229633,0.016706039977832106,0.041592144592844466,0.12600794152317718,0.7880319718393504
35421,2.0281542917710618e-14,1.2726445113307916e-07,6.41531874298999e-05,0.001186923204492789,0.004080223892948287,0.006879522963547694,0.008508310888493435,0.009547193795159326,0.01027601192988538,0.011116733942591717,0.012295908823045347,0.013996245161940975,0.016412012780039814,0.01984824575592627,0.024842345924562578,0.03244911933514067,0.0449552362936932,0.0685749971726665,0.13055983340782792,0.5848175461459573
37397,6.219319624065707e-17,6.786270412813393e-11,1.0356060421903025e-06,0.00043431087350302434,0.003985216377789657,0.009062415511520573,0.014544860426033422,0.019965701764956267,0.025311809629510216,0.030714923250505725,0.03652026228002806,0.04291722601344397,0.04997625222674943,0.0578318049931748,0.0667651103509352,0.0773162148818485,0.09051438970068319,0.10851863870225925,0.1371928792057136,0.22882757510763993
36753,1.7427530707525616e-27,7.697715600457805e-15,3.2132446040249907e-09,6.286328970825789e-06,0.0002642457787563462,0.0016165441159635943,0.004287513998195504,0.008408281307340927,0.013679483399850326,0.020021319798705736,0.02716404853998365,0.03488858938500601,0.04312555421845092,0.05201346031500727,0.061948917259215565,0.07369631783812611,0.08879510670632924,0.11066623578846464,0.15148584848956168,0.3083338717340373
67776,4.3721516927841606e-14,9.852107769702514e-10,3.203965407057195e-06,7.004224953901962e-05,0.00036767269970448536,0.000849038245642988,0.0013981902446706265,0.001971733894922113,0.0026197466574474177,0.0034682261414300175,0.004635646112905513,0.006274334009296759,0.008620757367280827,0.012084015532545777,0.017477513413476992,0.026527810571335648,0.04364043752044246,0.08043536024050832,0.18227570352881928,0.6076903812389896
40577,3.764609001347725e-19,1.9237862644356378e-11,1.5757833345462545e-07,1.4107060926640756e-05,0.00015783619061934476,0.0005224855996502683,0.0011096053660006894,0.001978331308422928,0.0032859475753809126,0.0051936850090164586,0.00783380595764273,0.011304899719608297,0.015742182822971868,0.021400498912395264,0.028805960542307177,0.03901531392555541,0.054370370796063536,0.08101180225724965,0.14278799295090006,0.5858704944498659
114413,1.2053143984151519e-15,3.351340266430353e-09,2.04629790931781e-06,9.349943963172341e-05,0.0005640320805575775,0.001362290824773664,0.0023887009425467725,0.003958481988232497,0.005845341030192273,0.008297298732481638,0.011525107338091495,0.01577274343913176,0.021434042883153592,0.028954797675697492,0.03903108128762057,0.05284712885536276,0.07249863209712944,0.103377692734122,0.1568581238485206,0.47559487218909474
12928,4.127289012767069e-17,2.407122377181983e-13,9.182828814982629e-10,4.984988217509239e-07,2.491143297775186e-05,0.0001998275713131539,0.0007081565304654628,0.0016503088045681858,0.003149577360833474,0.005209326148786159,0.007788581465304079,0.01091410250878508,0.01462710142574399,0.019153170618942405,0.02491603973081993,0.032748274584502496,0.04457412737014353,0.065241035316514,0.16559107195233855,0.603908131659435
111790,9.244981348797939e-12,1.7943799224407653e-07,4.025888405248089e-05,0.0009255345010254812,0.00484518475661375,0.009225706936378975,0.012593452391588935,0.014543144021853274,0.015768341397566,0.017121727439386197,0.01895791024992705,0.02154874664217535,0.02516051472738428,0.030220054149583404,0.03746388424097042,0.04835064802521707,0.06603735171891424,0.09877033983638848,0.17168842839043544,0.40714121830885575
115377,2.5664985264749463e-18,4.033708606805403e-12,3.012726862029915e-08,5.743712331727595e-06,0.00015569713962993947,0.0008883967131422805,0.0024016855271209903,0.004810147481462994,0.008265005929543935,0.012769283098376287,0.01819954293434236,0.0244268939788971,0.03142579270374525,0.03935909462068605,0.04866726012598477,0.06025565474664008,0.07597786217822965,0.1004539669793869,0.15042768986233923,0.4219126091720673
115881,2.796244313335691e-19,7.786524410326329e-12,1.579388737041652e-08,6.414234947861713e-06,0.00022202469056035434,0.0015140762475750994,0.004411037564379957,0.008575317696794238,0.01374505383548393,0.01980985848452156,0.02660440960151878,0.03403236625248234,0.0420920254017545,0.05095729923320982,0.06102368696716544,0.0730020381638036,0.08833022506839815,0.10994241285316268,0.14780222613475014,0.31833189724233696
118759,4.086509500054133e-13,1.852617988916995e-09,2.8390584328195654e-06,7.801061516529692e-05,0.000783266583764739,0.0021044096823898822,0.004181510013200959,0.006382562638728639,0.00859776406551149,0.010979196727583917,0.013807556691544176,0.017284220572981714,0.02162478387025727,0.027147508798648308,0.03444499173184708,0.04463423274866441,0.06008678746758234,0.08668374950307388,0.14546418460470673,0.5161186049131816
5859,9.434899121788707e-17,1.1484884512196943e-10,7.233824029580224e-07,9.217371922603959e-05,0.0006835507730830556,0.0042973357962275685,0.01258651442141246,0.022432487670791215,0.02928726359867785,0.035089300455806445,0.03902782436608813,0.043100898768902954,0.04728979315801356,0.052323002878272136,0.05881665152093578,0.06717290251564674,0.08001559457950758,0.09897451050525137,0.14585724657758461,0.2633481302274289
37019,5.1528951298540715e-25,6.316525227380055e-16,1.210116328328123e-10,2.9683853815448244e-07,1.3757429639571154e-05,0.00011419854584243067,0.0004357461076140579,0.0012260150801290406,0.002724133104950474,0.00500862343969753,0.008044457908145805,0.011808180382779126,0.016305082561406788,0.021685388298408707,0.028309757034364287,0.03697250335323772,0.04937534731210177,0.07017933025566724,0.12446192479024189,0.6237433300401525
97495,1.4229558222281744e-15,1.4813714450005676e-11,1.2476664495280948e-08,6.585575978782426e-07,9.299668158752842e-06,3.340170022525686e-05,8.334642562163627e-05,0.00018041867132783705,0.0003445590248728594,0.0006031534556682519,0.0009961334683485947,0.0015939302513513862,0.0025222104364448204,0.004020616942704169,0.006597046347773498,0.011402298762062104,0.021554931583669588,0.0463733885032732,0.1417373501448784,0.7623610664994245
115976,1.9043264263937945e-19,5.315425059989391e-10,6.652300919837798e-06,0.00022387392156574164,0.002267554351488081,0.007014462652163192,0.013234909167448074,0.01859388704992523,0.023320427227139093,0.027471598882848294,0.03181408145385032,0.03680108390173186,0.04273449911941686,0.04990625549931434,0.058772312927291105,0.07015234990914453,0.08562728803684291,0.10875754431909007,0.15020477777593888,0.2734950317404779
38925,4.343292492593163e-15,2.2701823313252924e-08,5.986280153908301e-06,0.00013176649872370736,0.0005042323722431075,0.0009432143364032319,0.0012749123413017393,0.0015053527844238303,0.0017850680241363415,0.0022208733945801988,0.0028999308435973103,0.003930814197196801,0.005487186296822482,0.007894587074277976,0.011778626571125592,0.018475217059105632,0.031194217527452082,0.05937212407487372,0.1439056508381185,0.7071096726848961
115774,2.6047900805527967e-14,4.2605605677858254e-08,1.6263651843965778e-06,0.00011348629968309535,0.0012327144121741466,0.004299347240293304,0.008715664352246428,0.012434663812427077,0.016074727044575233,0.01913828936824366,0.022496077549871152,0.026278053884578708,0.030831001262663103,0.03647280861845297,0.04374357140535968,0.0535768230217715,0.06790013367357448,0.09153946439571724,0.14329090812224637,0.4222648748912008
104699,8.581325850428328e-14,3.5835791976200244e-10,1.250517340287549e-07,9.736011753105624e-06,8.548139256250953e-05,0.0004711485622636404,0.001439296062172998,0.003247012956573564,0.005875101254826357,0.009204889711733189,0.013160555916889756,0.01787570210799764,0.023589794723547577,0.03069147389479186,0.03985163338121555,0.05223658702309981,0.07003026609304112,0.09854553847144742,0.15442374035849252,0.4796679851258543
35737,9.334722309653395e-13,4.361094146638279e-06,0.0010767423057708133,0.005397058111024989,0.010515579555200869,0.011740341235426322,0.01158870293868847,0.011567100272418248,0.011758642803737498,0.012466662239910761,0.013773258492261471,0.015871237189569946,0.018999720580552472,0.023582315169857284,0.03032871722372147,0.040560025398884224,0.0568935918584263,0.0859996415081916,0.14921868851670336,0.48906182620872096
31655,2.689132580932821e-16,2.805927094984927e-09,9.222670468933576e-06,0.0006721295109117126,0.002693726044645605,0.005218276992684113,0.006995092368641416,0.008373944231673472,0.009524446612622015,0.010909495014687324,0.012653101174362408,0.01492499983385712,0.017908016917157245,0.021917008780135583,0.027513564661424572,0.03583895831554213,0.0494174409491203,0.0752774004467484,0.14392049556138828,0.5566401670975926
111890,1.645001607069128e-11,6.638142657648806e-08,9.445212146914314e-06,0.0007669867329354189,0.0031636068208299715,0.007558303498721597,0.011698164249012337,0.014801744147765823,0.016940645460415845,0.018807134207110585,0.020718579984743312,0.02298842516602444,0.025895524232348435,0.029733187203887252,0.034949125138732065,0.042328486838633494,0.05362192844489291,0.07290396254721522,0.11745365030660804,0.5060658112353617
